,Name,Competition,Region,Year,Instrument,Prize,Gender
558, Mihaela Martin,Indianapolis,Europe,1982,violin,1,1
559, Ida Kavafian,Indianapolis,USA/Canada,1982,violin,2,1
560, Yuval Yaron,Indianapolis,Other,1982,violin,3,0
561, Olivier Charlier,Indianapolis,Europe,1982,violin,4,0
562, Nai-Yuan Hu,Indianapolis,Asia,1982,violin,5,0
563, Yuriko Naganuma,Indianapolis,Asia,1982,violin,6,1
564, David Oistrakh,Queen Elizabeth,Europe,1937,violin,1,0
565, Ricardo Odnoposoff,Queen Elizabeth,Europe,1937,violin,2,0
566, Elizabeth Gilels,Queen Elizabeth,Europe,1937,violin,3,1
567, Boris Goldstein,Queen Elizabeth,Europe,1937,violin,4,0
568, Marina Kozolupova,Queen Elizabeth,Europe,1937,violin,5,1
569, Leonid Kogan,Queen Elizabeth,Europe,1951,violin,1,0
570, Mikhail Vayman,Queen Elizabeth,Europe,1951,violin,2,0
571, Theo Olof,Queen Elizabeth,Europe,1951,violin,4,0
572, Alexei Gorokhov,Queen Elizabeth,Europe,1951,violin,5,0
573, Berl Senofsky,Queen Elizabeth,USA/Canada,1955,violin,1,0
574, Julian Sitkovetsky,Queen Elizabeth,Europe,1955,violin,2,0
575, Pierre Doukan,Queen Elizabeth,Europe,1955,violin,3,0
576, Francine Dorfeuille-Boussinot,Queen Elizabeth,Europe,1955,violin,4,1
577, Victor Picaizen,Queen Elizabeth,Europe,1955,violin,5,0
578, Jaime Laredo,Queen Elizabeth,Other,1959,violin,1,0
579, Albert Markov,Queen Elizabeth,Europe,1959,violin,2,0
580, Joseph Silverstein,Queen Elizabeth,USA/Canada,1959,violin,3,0
581, Vladimir Malinin,Queen Elizabeth,Europe,1959,violin,4,0
582, Boris Kouniev,Queen Elizabeth,Europe,1959,violin,5,0
583, Alexei Mikhlin,Queen Elizabeth,Europe,1963,violin,1,0
584, Semyon Snitkovsky,Queen Elizabeth,Europe,1963,violin,2,0
585, Arnold Steinhardt,Queen Elizabeth,USA/Canada,1963,violin,3,0
586, Zarius Shikhmurzayeva,Queen Elizabeth,Europe,1963,violin,4,0
587, Charles Castleman,Queen Elizabeth,USA/Canada,1963,violin,5,0
588, Philippe Hirschhorn,Queen Elizabeth,Europe,1967,violin,1,0
589, Stoïka Milanova,Queen Elizabeth,Europe,1967,violin,2,1
590, Gidon Kremer,Queen Elizabeth,Europe,1967,violin,3,0
591, Roman Nodel,Queen Elizabeth,Europe,1967,violin,4,0
592, Hidetaro Suzuki,Queen Elizabeth,Asia,1967,violin,5,0
593, Miriam Fried,Queen Elizabeth,Other,1971,violin,1,1
594, Andreï Korsakov,Queen Elizabeth,Europe,1971,violin,2,0
595, Hamao Fujiwara,Queen Elizabeth,Asia,1971,violin,3,0
596, /  Ana Chumachenco,Queen Elizabeth,Other,1971,violin,4,1
597, Edith Volckaert,Queen Elizabeth,Europe,1971,violin,5,1
598, Mikhaïl Bezverkhny,Queen Elizabeth,Europe,1976,violin,1,0
599, Irina Medvedeva,Queen Elizabeth,Europe,1976,violin,2,1
600, Dong-Suk Kang,Queen Elizabeth,Asia,1976,violin,3,0
601, Grigori Zhislin,Queen Elizabeth,Europe,1976,violin,4,0
602, Shizuka Ishikawa,Queen Elizabeth,Asia,1976,violin,5,1
603, Yuzuko Horigome,Queen Elizabeth,Asia,1980,violin,1,1
604, Peter Zazofsky,Queen Elizabeth,USA/Canada,1980,violin,2,0
605, Takashi Shimizu,Queen Elizabeth,Asia,1980,violin,3,0
606, Ruriko Tsukahara,Queen Elizabeth,Asia,1980,violin,4,1
607, Mihaela Martin,Queen Elizabeth,Europe,1980,violin,5,1
608, Hu Nai-yuan,Queen Elizabeth,Asia,1985,violin,1,0
609, Ik-Hwan Bae,Queen Elizabeth,Asia,1985,violin,2,0
610, Henry Raudales,Queen Elizabeth,Other,1985,violin,3,0
611, Hu Kun,Queen Elizabeth,Asia,1985,violin,4,0
612, Mi Kyung Lee,Queen Elizabeth,Asia,1985,violin,5,1
613, Vadim Repin,Queen Elizabeth,Europe,1989,violin,1,0
614, Akiko Suwanai,Queen Elizabeth,Asia,1989,violin,2,1
615, Evgeny Bushkov,Queen Elizabeth,Europe,1989,violin,3,0
616, Erez Ofer,Queen Elizabeth,Other,1989,violin,4,0
617,Ulrike-Anima Mathé,Queen Elizabeth,Europe,1989,violin,5,1
618, Yayoi Toda,Queen Elizabeth,Asia,1993,violin,1,1
619, Liviu Prunaru,Queen Elizabeth,Europe,1993,violin,2,0
620, Keng-Yuen Tseng,Queen Elizabeth,Asia,1993,violin,3,0
621, Martin Beaver,Queen Elizabeth,USA/Canada,1993,violin,4,0
622, Natalia Prischepenko,Queen Elizabeth,Europe,1993,violin,5,1
623, Nikolaj Znaider,Queen Elizabeth,Europe,1997,violin,1,0
624, Albrecht Breuninger,Queen Elizabeth,Europe,1997,violin,2,0
625, Kristóf Baráti,Queen Elizabeth,Europe,1997,violin,3,0
626, Andrew Haveron,Queen Elizabeth,Europe,1997,violin,4,0
627, Natsumi Tamai,Queen Elizabeth,Asia,1997,violin,5,1
628, Baiba Skride,Queen Elizabeth,Europe,2001,violin,1,1
629, Kam Ning,Queen Elizabeth,Asia,2001,violin,2,1
630, Barnabás Kelemen,Queen Elizabeth,Europe,2001,violin,3,0
631, Alina Pogostkin,Queen Elizabeth,Europe,2001,violin,4,1
632, Feng Ning,Queen Elizabeth,Asia,2001,violin,5,0
633, Sergey Khachatryan,Queen Elizabeth,Europe,2005,violin,1,0
634, Yossif Ivanov,Queen Elizabeth,Europe,2005,violin,2,0
635, Sophia Jaffé,Queen Elizabeth,Europe,2005,violin,3,1
636, Saeka Matsuyama,Queen Elizabeth,Asia,2005,violin,4,1
637, Mikhail Ovrutsky,Queen Elizabeth,USA/Canada,2005,violin,5,0
638, Ray Chen,Queen Elizabeth,Other,2009,violin,1,0
639, Lorenzo Gatto,Queen Elizabeth,Europe,2009,violin,2,0
640, Ilian Garnet,Queen Elizabeth,Europe,2009,violin,3,0
641, Suyoen Kim,Queen Elizabeth,Asia,2009,violin,4,1
642, Nikita Borisoglebsky,Queen Elizabeth,Europe,2009,violin,5,0
643, Andrey Baranov,Queen Elizabeth,Europe,2012,violin,1,0
644, Tatsuki Narita,Queen Elizabeth,Asia,2012,violin,2,0
645, Hyun Su Shin,Queen Elizabeth,Asia,2012,violin,3,1
646, Esther Yoo,Queen Elizabeth,USA/Canada,2012,violin,4,1
647, Tseng Yu-Chien,Queen Elizabeth,Asia,2012,violin,5,0
648, Ji Young Lim,Queen Elizabeth,Asia,2015,violin,1,1
649, Oleksii Semenenko,Queen Elizabeth,Europe,2015,violin,2,0
650, William Hagen,Queen Elizabeth,USA/Canada,2015,violin,3,0
651, Tobias Feldmann,Queen Elizabeth,Europe,2015,violin,4,0
652,/ Stephen Waarts,Queen Elizabeth,Other,2015,violin,5,0
653, Emil Gilels,Queen Elizabeth,Europe,1938,piano,1,0
654, Mary Johnstone (Moura Lympany),Queen Elizabeth,Europe,1938,piano,2,1
655, Jakov Flier,Queen Elizabeth,Europe,1938,piano,3,0
656, Lance Dossor,Queen Elizabeth,Europe,1938,piano,4,0
657, Nibya Mariño Bellini,Queen Elizabeth,Other,1938,piano,5,1
658, Leon Fleisher,Queen Elizabeth,USA/Canada,1952,piano,1,0
659, Karl Engel,Queen Elizabeth,Europe,1952,piano,2,0
660, Maria Tipo,Queen Elizabeth,Europe,1952,piano,3,1
661, Frans Brouw,Queen Elizabeth,Europe,1952,piano,4,0
662, Lawrence Davis,Queen Elizabeth,Other,1952,piano,5,0
663, Vladimir Ashkenazy,Queen Elizabeth,Europe,1956,piano,1,0
664, John Browning,Queen Elizabeth,USA/Canada,1956,piano,2,0
665, Andrzej Czajkowski,Queen Elizabeth,Europe,1956,piano,3,0
666, Cécile Ousset,Queen Elizabeth,Europe,1956,piano,4,1
667, Lazar Berman,Queen Elizabeth,Europe,1956,piano,5,0
668, Malcolm Frager,Queen Elizabeth,USA/Canada,1960,piano,1,0
669, Ronald Turini,Queen Elizabeth,USA/Canada,1960,piano,2,0
670, Lee Luvisi,Queen Elizabeth,USA/Canada,1960,piano,3,0
671, Alice Mitchenko,Queen Elizabeth,Europe,1960,piano,4,1
672, Gábor Gabos,Queen Elizabeth,Europe,1960,piano,5,0
673, Evgeny Mogilevsky,Queen Elizabeth,Europe,1964,piano,1,0
674, Nikolai Petrov,Queen Elizabeth,Europe,1964,piano,2,0
675, Jean-Claude Vanden Eynden,Queen Elizabeth,Europe,1964,piano,3,0
676, Anton Kuerti,Queen Elizabeth,USA/Canada,1964,piano,4,0
677, Richard Syracuse,Queen Elizabeth,USA/Canada,1964,piano,5,0
678, Ekaterina Novitskaya,Queen Elizabeth,Europe,1968,piano,1,1
679, Valère Kamychov,Queen Elizabeth,Europe,1968,piano,2,0
680, Jeffrey Siegel,Queen Elizabeth,USA/Canada,1968,piano,3,0
681, Semion Kroutchine,Queen Elizabeth,Europe,1968,piano,4,0
682, André De Groote,Queen Elizabeth,Europe,1968,piano,5,0
683, Valery Afanassiev,Queen Elizabeth,Europe,1972,piano,1,0
684, Jeffrey Swann,Queen Elizabeth,USA/Canada,1972,piano,2,0
685, Joseph Alfidi,Queen Elizabeth,USA/Canada,1972,piano,3,0
686, David Lively,Queen Elizabeth,USA/Canada,1972,piano,4,0
687, Svetlana Navasardyan,Queen Elizabeth,Europe,1972,piano,5,1
688, Mikhaïl Faerman,Queen Elizabeth,Europe,1975,piano,1,0
689, Stanislav Igolinsky,Queen Elizabeth,Europe,1975,piano,2,0
690, Youri Egorov,Queen Elizabeth,Europe,1975,piano,3,0
691, Larry Michael Graham,Queen Elizabeth,USA/Canada,1975,piano,4,0
692, Sergueï Iuchkevitch,Queen Elizabeth,Europe,1975,piano,5,0
693, Abdel Rahman El Bacha,Queen Elizabeth,Other,1978,piano,1,0
694, Gregory Allen,Queen Elizabeth,USA/Canada,1978,piano,2,0
695, Brigitte Engerer,Queen Elizabeth,Europe,1978,piano,3,1
696, Alan Weiss,Queen Elizabeth,USA/Canada,1978,piano,4,0
697, Douglas Finch,Queen Elizabeth,USA/Canada,1978,piano,5,0
698, Pierre-Alain Volondat (fr),Queen Elizabeth,Europe,1983,piano,1,0
699, Wolfgang Manz,Queen Elizabeth,Europe,1983,piano,2,0
700, Boyan Vodenitcharov,Queen Elizabeth,Europe,1983,piano,3,0
701, Daniel Blumenthal,Queen Elizabeth,USA/Canada,1983,piano,4,0
702, Eliane Rodrigues,Queen Elizabeth,Other,1983,piano,5,1
703, Andrei Nikolsky,Queen Elizabeth,Europe,1987,piano,1,0
704, Akira Wakabayashi,Queen Elizabeth,Asia,1987,piano,2,1
705, Rolf Plagge,Queen Elizabeth,Europe,1987,piano,3,0
706, Johan Schmidt,Queen Elizabeth,Europe,1987,piano,4,0
707, Ikuyo Nakamichi,Queen Elizabeth,Asia,1987,piano,5,1
708, Frank Braley (fr),Queen Elizabeth,Europe,1991,piano,1,0
709, Stephen Prutsman,Queen Elizabeth,USA/Canada,1991,piano,2,0
710, Brian Ganz,Queen Elizabeth,USA/Canada,1991,piano,3,0
711, Hae-sun Paik,Queen Elizabeth,Asia,1991,piano,4,1
712, Alexander Melnikov,Queen Elizabeth,Europe,1991,piano,5,0
713, Markus Groh,Queen Elizabeth,Europe,1995,piano,1,0
714, Laura Mikkola,Queen Elizabeth,Europe,1995,piano,2,1
715, Giovanni Bellucci,Queen Elizabeth,Europe,1995,piano,3,0
716, Yuliya Gorenman,Queen Elizabeth,USA/Canada,1995,piano,4,1
717, Jong Hwa Park,Queen Elizabeth,Asia,1995,piano,5,0
718, Vitaly Samoshko,Queen Elizabeth,Europe,1999,piano,1,0
719, Alexander Ghindin,Queen Elizabeth,Europe,1999,piano,2,0
720, Ning An,Queen Elizabeth,Asia,1999,piano,3,0
721, Shai Wosner,Queen Elizabeth,Other,1999,piano,4,0
722, Roberto Cominati,Queen Elizabeth,Europe,1999,piano,5,0
723, Severin von Eckardstein,Queen Elizabeth,Europe,2003,piano,1,0
724, Wen-Yu Shen,Queen Elizabeth,Asia,2003,piano,2,0
725, Roberto Giordano,Queen Elizabeth,Europe,2003,piano,4,0
726, Kazumasa Matsumoto,Queen Elizabeth,Asia,2003,piano,5,0
727, Anna Vinnitskaya,Queen Elizabeth,Europe,2007,piano,1,1
728, Plamena Mangova,Queen Elizabeth,Europe,2007,piano,2,1
729, Francesco Piemontesi,Queen Elizabeth,Europe,2007,piano,3,0
730, Ilya Rashkovsky,Queen Elizabeth,Europe,2007,piano,4,0
731, Lim Hyo-Sun,Queen Elizabeth,Asia,2007,piano,5,1
732, Denis Kozhukhin,Queen Elizabeth,Europe,2010,piano,1,0
733, Evgeni Bozhanov,Queen Elizabeth,Europe,2010,piano,2,0
734, Hannes Minnaar,Queen Elizabeth,Europe,2010,piano,3,0
735, Yury Favorin,Queen Elizabeth,Europe,2010,piano,4,0
736, Kim Tae-Hyung,Queen Elizabeth,Asia,2010,piano,5,0
737, Boris Giltburg,Queen Elizabeth,Other,2013,piano,1,0
738, Rémi Geniet,Queen Elizabeth,Europe,2013,piano,2,0
739, Mateusz Borowiak,Queen Elizabeth,Europe,2013,piano,3,0
740, Stanislav Khristenko,Queen Elizabeth,Europe,2013,piano,4,0
741, Zhang Zuo,Queen Elizabeth,Asia,2013,piano,5,1
742,Ginette Neveu,Wieniawski,Europe,1935,violin,1,1
743,David Oistrakh,Wieniawski,Europe,1935,violin,2,0
744,Henri Temianka,Wieniawski,Europe,1935,violin,3,0
745,Igor Oistrakh,Wieniawski,Europe,1952,violin,1,0
746,Julian Sitkovetsky,Wieniawski,Europe,1952,violin,2,0
747,Wanda Wiłkomirska,Wieniawski,Europe,1952,violin,2,1
748,Blanche Tarjus (page does not exist),Wieniawski,Europe,1952,violin,3,1
749,Marina Jaszwili (page does not exist),Wieniawski,Europe,1952,violin,3,1
750,Olga Parchomienko (page does not exist),Wieniawski,Europe,1952,violin,3,1
751,Roza Fajn (page does not exist),Wieniawski,Europe,1957,violin,1,1
752,Sidney Harth,Wieniawski,USA/Canada,1957,violin,2,0
753,Mark Komissarow (page does not exist),Wieniawski,Europe,1957,violin,3,0
754,Charles Treger (page does not exist),Wieniawski,USA/Canada,1962,violin,1,0
755,Oleh Krysa,Wieniawski,Europe,1962,violin,2,0
756,Krzysztof Jakowicz (page does not exist),Wieniawski,Europe,1962,violin,3,0
757,Piotr Janowski,Wieniawski,Europe,1967,violin,1,0
758,Michał Bezwierchnyj (page does not exist),Wieniawski,Europe,1967,violin,2,0
759,Kaja Danczowska (page does not exist),Wieniawski,Europe,1967,violin,3,1
760,Tatiana Grindenko,Wieniawski,Europe,1972,violin,1,1
761,Shizuka Ishikawa (violinist) (page does not exist),Wieniawski,Asia,1972,violin,2,1
762,Barbara Górzyńska (page does not exist),Wieniawski,Europe,1972,violin,3,1
763,Vadim Brodski,Wieniawski,Europe,1977,violin,1,0
764,Piotr Milewski (page does not exist),Wieniawski,Europe,1977,violin,2,0
765,Michał Wajman (page does not exist),Wieniawski,Europe,1977,violin,2,0
766,Zakhar Bron,Wieniawski,Europe,1977,violin,3,0
767,Peter A. Zazofsky (page does not exist),Wieniawski,USA/Canada,1977,violin,3,0
768,Keiko Urushihara (page does not exist),Wieniawski,Asia,1981,violin,1,1
769,Elisa Kawaguti (page does not exist),Wieniawski,Asia,1981,violin,2,1
770,Aureli Błaszczok (page does not exist),Wieniawski,Europe,1981,violin,3,0
771,Ewgenij Buszkow (page does not exist),Wieniawski,Europe,1986,violin,1,0
772,Nobu Wakabayashi (page does not exist),Wieniawski,Asia,1986,violin,2,1
773,Robert Kabara (page does not exist),Wieniawski,Europe,1986,violin,3,0
774,Bartłomiej Nizioł (page does not exist),Wieniawski,Europe,1991,violin,1,0
775,Piotr Pławner (page does not exist),Wieniawski,Europe,1991,violin,1,0
776,Chie Abiko (page does not exist),Wieniawski,Asia,1991,violin,2,1
777,Reiko Shiraishi (page does not exist),Wieniawski,Asia,1991,violin,3,1
778,Reiko Otani (page does not exist),Wieniawski,Asia,1996,violin,1,1
779,Akkiko Tanaka (page does not exist),Wieniawski,Asia,1996,violin,2,1
780,Łukasz Błaszczyk (page does not exist),Wieniawski,Europe,1996,violin,3,0
781,Asuka Sezaki (page does not exist),Wieniawski,Asia,1996,violin,3,1
782,Alena Baeva,Wieniawski,Europe,2001,violin,1,1
783,Soojin Han (page does not exist),Wieniawski,Asia,2001,violin,2,1
784,Roman Simowic (page does not exist),Wieniawski,Europe,2001,violin,2,0
785,Gaik Kazazian,Wieniawski,Europe,2001,violin,3,0
786,Bracha Malkin (page does not exist),Wieniawski,USA/Canada,2001,violin,3,1
787,Hiroko Takahashi (violinist) (page does not exist),Wieniawski,Asia,2001,violin,3,1
788,Agata Szymczewska,Wieniawski,Europe,2006,violin,1,1
789,Airi Suzuki (violinist),Wieniawski,Asia,2006,violin,2,1
790,Anna Maria Staśkiewicz (page does not exist),Wieniawski,Europe,2006,violin,3,1
791,Soyoung Yoon (page does not exist),Wieniawski,Asia,2011,violin,1,1
792,Miki Kobayashi (violinist) (page does not exist),Wieniawski,Asia,2011,violin,2,1
793,Stefan Tarara (page does not exist),Wieniawski,Europe,2011,violin,3,0
